,Count,Percentage of Listings
brick oven,1,0.004819044865307696
hammock,1,0.004819044865307696
tennis court,1,0.004819044865307696
pool toys,1,0.004819044865307696
alfresco bathtub,2,0.009638089730615392
private gym,2,0.009638089730615392
mobile hoist,2,0.009638089730615392
pool cover,2,0.009638089730615392
heat lamps,2,0.009638089730615392
ground floor access,2,0.009638089730615392
washer / dryer,2,0.009638089730615392
private pool,3,0.014457134595923087
standing valet,3,0.014457134595923087
touchless faucets,3,0.014457134595923087
ceiling hoist,3,0.014457134595923087
fax machine,4,0.019276179461230784
air purifier,4,0.019276179461230784
outdoor kitchen,4,0.019276179461230784
mountain view,5,0.024095224326538482
projector and screen,5,0.024095224326538482
private hot tub,5,0.024095224326538482
steam oven,6,0.028914269191846174
bidet,6,0.028914269191846174
sauna,6,0.028914269191846174
private bathroom,7,0.03373331405715387
stand alone steam shower,7,0.03373331405715387
heated towel rack,7,0.03373331405715387
jetted tub,7,0.03373331405715387
double oven,8,0.03855235892246157
fire pit,8,0.03855235892246157
beach view,8,0.03855235892246157
wine cooler,10,0.048190448653076964
amazon echo,11,0.05300949351838465
shared hot tub,11,0.05300949351838465
mudroom,11,0.05300949351838465
high-resolution computer monitor,11,0.05300949351838465
ski-in/ski-out,11,0.05300949351838465
electric profiling bed,12,0.05782853838369235
murphy bed,14,0.06746662811430774
sun loungers,15,0.07228567297961544
warming drawer,15,0.07228567297961544
hbo go,17,0.08192376271023083
mini fridge,17,0.08192376271023083
shared pool,18,0.08674280757553852
firm mattress,19,0.09156185244084623
outdoor parking,20,0.09638089730615393
dvd player,21,0.10119994217146161
printer,21,0.10119994217146161
pool with pool hoist,22,0.1060189870367693
shared gym,26,0.1252951664980001
day bed,29,0.1397523010939232
exercise equipment,32,0.15420943568984627
heated floors,33,0.15902848055515398
gas oven,34,0.16384752542046166
shower chair,37,0.17830466001638476
ceiling fan,39,0.18794274974700015
kitchenette,39,0.18794274974700015
table corner guards,42,0.20239988434292322
bathtub with bath chair,42,0.20239988434292322
fixed grab bars for toilet,46,0.221676063804154
pillow-top mattress,48,0.2313141535347694
terrace,50,0.2409522432653848
sound system,53,0.2554093778613079
formal dining area,54,0.26022842272661556
rain shower,54,0.26022842272661556
espresso machine,56,0.269866512457231
other pet(s),57,0.2746855573225387
memory foam mattress,57,0.2746855573225387
soaking tub,57,0.2746855573225387
balcony,69,0.332514095706231
convection oven,69,0.332514095706231
walk-in shower,72,0.3469712303021541
baby monitor,74,0.3566093200327695
central air conditioning,74,0.3566093200327695
outdoor seating,76,0.36624740976338493
en suite bathroom,78,0.3758854994940003
breakfast table,91,0.43853308274300035
beach essentials,92,0.443352127608308
fireplace guards,100,0.4819044865307696
fixed grab bars for shower,104,0.5011806659920004
smart tv,129,0.6216567876246928
beachfront,137,0.6602091465471543
netflix,141,0.6794853260083851
roll-in shower,145,0.6987615054696159
changing table,147,0.7083995952002313
window guards,151,0.727675774661462
hot water kettle,161,0.775866223314539
ev charger,181,0.8722471206206929
baby bath,182,0.8770661654860007
stair gates,195,0.9397137487350007
outlet covers,232,1.1180184087513856
game console,299,1.440894414727001
pocket wifi,299,1.440894414727001
babysitter recommendations,313,1.5083610428413088
toilet paper,328,1.580646715820924
bath towel,328,1.580646715820924
body soap,328,1.580646715820924
bathroom essentials,333,1.6047419401474627
bedroom comforts,333,1.6047419401474627
 toilet,387,1.8649703628740786
wide clearance to shower,387,1.8649703628740786
crib,396,1.9083417666618478
full kitchen,400,1.9276179461230785
childrens dinnerware,404,1.9468941255843093
cat(s),420,2.0239988434292324
disabled parking spot,421,2.0288178882945402
dog(s),473,2.27940822129054
suitable for events,480,2.313141535347694
extra space around shower and toilet,509,2.4528938364416173
wide doorway to guest bathroom,564,2.7179413040335403
waterfront,631,3.0408173100091562
accessible-height toilet,658,3.170931521372464
smoking allowed,673,3.2432171943520793
high chair,755,3.6383788733073104
accessible-height bed,778,3.7492169052093876
building staff,831,4.004626283070696
childrens books and toys,867,4.178111898221772
pack n play/travel crib,877,4.226302346874849
wide entryway,908,4.375692737699389
smart lock,915,4.409426051756542
cleaning before checkout,933,4.49616885933208
wide entrance,1032,4.973254300997542
extra space around bed,1050,5.05999710857308
pets live on this property,1076,5.185292275071081
room-darkening shades,1094,5.272035082646619
doorman,1142,5.503349236181389
flat path to guest entrance,1160,5.590092043756927
wheelchair accessible,1165,5.614187268083466
wide hallways,1308,6.303310683822466
wide entrance for guests,1308,6.303310683822466
ethernet connection,1312,6.322586863283696
single level home,1375,6.6261866897980815
lake access,1378,6.6406438243940045
buzzer/wireless intercom,1542,7.4309671823044665
other,1627,7.840585995855622
bbq grill,1646,7.932147848296468
breakfast,1850,8.915233000819239
well-lit path to entrance,1938,9.339308948966314
24-hour check-in,1958,9.435689846272469
free street parking,2015,9.710375403595007
indoor fireplace,2051,9.883861018746085
keypad,2136,10.293479832297239
translation missing: en.hosting_amenity_49,2251,10.847669991807624
no stairs or steps to enter,2337,11.262107850224085
bathtub,2475,11.927136041636548
private living room,2592,12.49096429087755
paid parking on premises,2599,12.524697604934701
pets allowed,2604,12.54879282926124
garden or backyard,2660,12.818659341718472
safety card,2702,13.021059226061393
translation missing: en.hosting_amenity_50,2799,13.48850657799624
hot tub,3115,15.011324755433472
host greets you,3239,15.608886318731626
lockbox,3359,16.187171702568552
pool,3819,18.40393234061009
luggage dropoff allowed,3913,18.856922557949016
patio or balcony,4587,22.1049587971664
cable tv,4735,22.81817743723194
paid parking off premises,4759,22.933834513999326
internet,4998,24.085586236807867
extra pillows and blankets,5835,28.11912678907041
dishwasher,5875,28.311888583682716
lock on bedroom door,6244,30.090116138981255
gym,6295,30.335887427111945
long term stays allowed,6471,31.184039323406097
family/kid friendly,6560,31.612934316418485
private entrance,7006,33.76222832634571
coffee maker,7184,34.62001831237049
self check-in,7229,34.836875331309336
bed linens,7875,37.94997831429811
first aid kit,7924,38.18611151269818
cooking basics,8121,39.1354633511638
oven,8174,39.390872729025105
free parking on premises,8327,40.12818659341718
stove,8521,41.06308129728688
microwave,8671,41.78593802708303
elevator,8671,41.78593802708303
dishes and silverware,8700,41.925690328176955
refrigerator,9431,45.44841212471688
fire extinguisher,10742,51.76617994313527
hot water,12253,59.0477567346152
iron,14644,70.5700930075659
tv,14662,70.65683581514143
hair dryer,15306,73.7603007083996
laptop friendly workspace,15611,75.23010939231844
dryer,16542,79.71664016191991
shampoo,16602,80.00578285383837
carbon monoxide detector,16655,80.26119223169968
washer,16797,80.94549660257337
hangers,17590,84.76699918076237
air conditioning,17728,85.43202737217483
kitchen,19127,92.17387113874031
smoke detector,19520,94.06775577080623
essentials,19736,95.1086694617127
heating,20091,96.81943038889692
wifi,20366,98.14466772685654
